assignment_id,tag_id,created_at
asn_019,tag_001,2025-07-26 04:05:40.51103+00
asn_019,tag_002,2025-07-26 04:05:40.51103+00
asn_019,tag_007,2025-07-26 04:05:40.51103+00
asn_020,tag_002,2025-07-26 04:05:40.51103+00
asn_020,tag_005,2025-07-26 04:05:40.51103+00
asn_020,tag_006,2025-07-26 04:05:40.51103+00
asn_021,tag_003,2025-07-26 04:05:40.51103+00
asn_021,tag_006,2025-07-26 04:05:40.51103+00
asn_021,tag_014,2025-07-26 04:05:40.51103+00
asn_022,tag_003,2025-07-26 04:05:40.51103+00
asn_022,tag_007,2025-07-26 04:05:40.51103+00
asn_022,tag_009,2025-07-26 04:05:40.51103+00
asn_023,tag_002,2025-07-26 04:05:40.51103+00
asn_023,tag_006,2025-07-26 04:05:40.51103+00
asn_023,tag_010,2025-07-26 04:05:40.51103+00
asn_024,tag_002,2025-07-26 04:05:40.51103+00
asn_024,tag_005,2025-07-26 04:05:40.51103+00
asn_024,tag_007,2025-07-26 04:05:40.51103+00